Paulis Weight
IIIIIIIIZ (-100069.5+0j)
IIIIZIIII (-100055.5+0j)
IIIIZIIIZ (12+0j)
IIIIIIIZI (-100069.5+0j)
IIIZIIIII (-100055.5+0j)
IIIZIIIZI (12+0j)
IIIIIIZII (-100069.5+0j)
IIIIIZIII (-100055.5+0j)
IIIIIZZII (12+0j)
IZIIIIIII (-100077+0j)
IZIIIIIIZ (22.75+0j)
ZIIIIIIII (-100077+0j)
ZIIIIIIZI (22.75+0j)
IIZIIIIII (-100077+0j)
IIZIIIZII (22.75+0j)
IIIIIZIZI (12+0j)
IIIIZIZII (12+0j)
IIIZIIIIZ (12+0j)
IZIIIZIII (15.75+0j)
ZIIIZIIII (15.75+0j)
IIZZIIIII (15.75+0j)
IIZIIIIZI (22.75+0j)
IZIIIIZII (22.75+0j)
ZIIIIIIIZ (22.75+0j)
IIZIZIIII (15.75+0j)
IZIZIIIII (15.75+0j)
ZIIIIZIII (15.75+0j)
IIIIIZIIZ (50000+0j)
IIZIIIIIZ (50000+0j)
IIZIIZIII (50000+0j)
IIIIZIIZI (50000+0j)
IZIIIIIZI (50000+0j)
IZIIZIIII (50000+0j)
IIIZIIZII (50000+0j)
ZIIIIIZII (50000+0j)
ZIIZIIIII (50000+0j)
IIIIIIIZZ (50000+0j)
IIIIIIZIZ (50000+0j)
IIIIIIZZI (50000+0j)
IIIIZZIII (50000+0j)
IIIZIZIII (50000+0j)
IIIZZIIII (50000+0j)
IZZIIIIII (50000+0j)
ZIZIIIIII (50000+0j)
ZZIIIIIII (50000+0j)
