Paulis Weight
IIIIIIIIIIIIIIIZ (-200086+0j)
IIIIIIIIIIZIIIII (-200091+0j)
IIIIIIIIIIZIIIIZ (12+0j)
IIIIIIIIIIIIIIZI (-200086+0j)
IIIIIIIIIZIIIIII (-200091+0j)
IIIIIIIIIZIIIIZI (12+0j)
IIIIIIIIIIIIIZII (-200086+0j)
IIIIIIIIZIIIIIII (-200091+0j)
IIIIIIIIZIIIIZII (12+0j)
IIIIIIIIIIIIZIII (-200086+0j)
IIIIIIIIIIIZIIII (-200091+0j)
IIIIIIIIIIIZZIII (12+0j)
IIIIIIZIIIIIIIII (-200123+0j)
IIIIIIZIIIIIIIIZ (22.75+0j)
IIIIIZIIIIIIIIII (-200123+0j)
IIIIIZIIIIIIIIZI (22.75+0j)
IIIIZIIIIIIIIIII (-200123+0j)
IIIIZIIIIIIIIZII (22.75+0j)
IIIIIIIZIIIIIIII (-200123+0j)
IIIIIIIZIIIIZIII (22.75+0j)
IIZIIIIIIIIIIIII (-200098+0j)
IIZIIIIIIIIIIIIZ (8.25+0j)
IZIIIIIIIIIIIIII (-200098+0j)
IZIIIIIIIIIIIIZI (8.25+0j)
ZIIIIIIIIIIIIIII (-200098+0j)
ZIIIIIIIIIIIIZII (8.25+0j)
IIIZIIIIIIIIIIII (-200098+0j)
IIIZIIIIIIIIZIII (8.25+0j)
IIIIIIIIIIIZIIZI (12+0j)
IIIIIIIIIIZIIZII (12+0j)
IIIIIIIIIZIIZIII (12+0j)
IIIIIIIIZIIIIIIZ (12+0j)
IIIIIIZIIIIZIIII (15.75+0j)
IIIIIZIIIIZIIIII (15.75+0j)
IIIIZIIIIZIIIIII (15.75+0j)
IIIIIIIZZIIIIIII (15.75+0j)
IIZIIIIIIIIZIIII (17.75+0j)
IZIIIIIIIIZIIIII (17.75+0j)
ZIIIIIIIIZIIIIII (17.75+0j)
IIIZIIIIZIIIIIII (17.75+0j)
IIIIIIIZIIIIIIZI (22.75+0j)
IIIIIIZIIIIIIZII (22.75+0j)
IIIIIZIIIIIIZIII (22.75+0j)
IIIIZIIIIIIIIIIZ (22.75+0j)
IIIIIIIZIIZIIIII (15.75+0j)
IIIIIIZIIZIIIIII (15.75+0j)
IIIIIZIIZIIIIIII (15.75+0j)
IIIIZIIIIIIZIIII (15.75+0j)
IIZIIIIZIIIIIIII (23+0j)
IZIIIIZIIIIIIIII (23+0j)
ZIIIIZIIIIIIIIII (23+0j)
IIIZZIIIIIIIIIII (23+0j)
IIIZIIIIIIIIIIZI (8.25+0j)
IIZIIIIIIIIIIZII (8.25+0j)
IZIIIIIIIIIIZIII (8.25+0j)
ZIIIIIIIIIIIIIIZ (8.25+0j)
IIIZIIIIIIZIIIII (17.75+0j)
IIZIIIIIIZIIIIII (17.75+0j)
IZIIIIIIZIIIIIII (17.75+0j)
ZIIIIIIIIIIZIIII (17.75+0j)
IIIZIIZIIIIIIIII (23+0j)
IIZIIZIIIIIIIIII (23+0j)
IZIIZIIIIIIIIIII (23+0j)
ZIIIIIIZIIIIIIII (23+0j)
IIIIIIIIIIIZIIIZ (50000+0j)
IIIIIIIZIIIIIIIZ (50000+0j)
IIIIIIIZIIIZIIII (50000+0j)
IIIZIIIIIIIIIIIZ (50000+0j)
IIIZIIIIIIIZIIII (50000+0j)
IIIZIIIZIIIIIIII (50000+0j)
IIIIIIIIIIZIIIZI (50000+0j)
IIIIIIZIIIIIIIZI (50000+0j)
IIIIIIZIIIZIIIII (50000+0j)
IIZIIIIIIIIIIIZI (50000+0j)
IIZIIIIIIIZIIIII (50000+0j)
IIZIIIZIIIIIIIII (50000+0j)
IIIIIIIIIZIIIZII (50000+0j)
IIIIIZIIIIIIIZII (50000+0j)
IIIIIZIIIZIIIIII (50000+0j)
IZIIIIIIIIIIIZII (50000+0j)
IZIIIIIIIZIIIIII (50000+0j)
IZIIIZIIIIIIIIII (50000+0j)
IIIIIIIIZIIIZIII (50000+0j)
IIIIZIIIIIIIZIII (50000+0j)
IIIIZIIIZIIIIIII (50000+0j)
ZIIIIIIIIIIIZIII (50000+0j)
ZIIIIIIIZIIIIIII (50000+0j)
ZIIIZIIIIIIIIIII (50000+0j)
IIIIIIIIIIIIIIZZ (50000+0j)
IIIIIIIIIIIIIZIZ (50000+0j)
IIIIIIIIIIIIIZZI (50000+0j)
IIIIIIIIIIIIZIIZ (50000+0j)
IIIIIIIIIIIIZIZI (50000+0j)
IIIIIIIIIIIIZZII (50000+0j)
IIIIIIIIIIZZIIII (50000+0j)
IIIIIIIIIZIZIIII (50000+0j)
IIIIIIIIIZZIIIII (50000+0j)
IIIIIIIIZIIZIIII (50000+0j)
IIIIIIIIZIZIIIII (50000+0j)
IIIIIIIIZZIIIIII (50000+0j)
IIIIIIZZIIIIIIII (50000+0j)
IIIIIZIZIIIIIIII (50000+0j)
IIIIIZZIIIIIIIII (50000+0j)
IIIIZIIZIIIIIIII (50000+0j)
IIIIZIZIIIIIIIII (50000+0j)
IIIIZZIIIIIIIIII (50000+0j)
IIZZIIIIIIIIIIII (50000+0j)
IZIZIIIIIIIIIIII (50000+0j)
IZZIIIIIIIIIIIII (50000+0j)
ZIIZIIIIIIIIIIII (50000+0j)
ZIZIIIIIIIIIIIII (50000+0j)
ZZIIIIIIIIIIIIII (50000+0j)
