Number of Nodes,Number of trucks,Coarsening Ratio,Run Number,Cost Evaluation,Solve Time,Cost Evaluation (duplicate),Solve Time (duplicate)
,,,,,,,
20,2,1,0,3.893950443,1.573446274,3.893950443,1.573446274
,,,,,,,
20,2,1,1,4.375501367,3.205806017,4.375501367,3.205806017
,,,,,,,
20,2,1,2,4.497180604,1.55147171,4.497180604,1.55147171
,,,,,,,
20,2,1,3,5.190428465,43.71764231,5.190428465,43.71764231
,,,,,,,
20,2,1,4,5.316057076,17.03954363,5.316057076,17.03954363
,,,,,,,
20,2,1,5,4.310470239,300.8426232,4.310470239,300.8426232
,,,,,,,
20,2,1,6,3.835167089,13.46792984,3.835167089,13.46792984
,,,,,,,
20,2,1,7,4.35212941,0.716976881,4.35212941,0.716976881
,,,,,,,
20,2,1,8,5.048904591,45.91240788,5.048904591,45.91240788
,,,,,,,
20,2,1,9,4.499722947,18.94554758,4.499722947,18.94554758
,,,,,,,
20,2,1,10,4.554752451,89.34177613,4.554752451,89.34177613
,,,,,,,
20,2,1,11,3.986357976,0.376992941,3.986357976,0.376992941
,,,,,,,
20,2,1,12,4.907370594,9.882581949,4.907370594,9.882581949
,,,,,,,
20,2,1,13,4.441913273,1.676988602,4.441913273,1.676988602
,,,,,,,
20,2,1,14,4.233615046,2.615581512,4.233615046,2.615581512
,,,,,,,
20,2,1,15,4.152198256,3.80248642,4.152198256,3.80248642
,,,,,,,
20,2,1,16,4.056055312,2.665095806,4.056055312,2.665095806
,,,,,,,
20,2,1,17,3.991686772,2.653883219,3.991686772,2.653883219
,,,,,,,
20,2,1,18,5.046281807,301.100337,5.046281807,301.100337
,,,,,,,
20,2,1,19,4.548781817,0.791887522,4.548781817,0.791887522
,,,,,,,
20,2,0.9,0,3.905923358,0.82785511,3.905923358,0.82785511
,,,,,,,
20,2,0.9,1,4.375501367,4.623133659,4.375501367,4.623133659
,,,,,,,
20,2,0.9,2,4.497180604,1.32579422,4.497180604,1.32579422
,,,,,,,
