,,0,1,2,3,4,5,6,7,8,9
x_10_0,0,7.679479273230477,,,,,,,,,
x_10_0,1,-19.249652843779714,,,,,,,,,
x_10_0,2,22.514143217451227,,,,,,,,,
x_10_0,3,-0.8904299286000894,,,,,,,,,
x_10_0,4,18.623726759101768,,,,,,,,,
x_10_0,5,-14.383365953864002,,,,,,,,,
x_10_0,6,-22.964518761545545,,,,,,,,,
x_10_0,7,-5.14027693271471,,,,,,,,,
x_10_0,8,-13.343390132581002,,,,,,,,,
x_10_0,9,17.08703621265308,,,,,,,,,
y_10_0,0,-14.645882780662657,,,,,,,,,
y_10_0,1,12.123476679120431,,,,,,,,,
y_10_0,2,-5.392293609557935,,,,,,,,,
y_10_0,3,-15.887174002380783,,,,,,,,,
y_10_0,4,12.176970729607001,,,,,,,,,
y_10_0,5,-21.520895951502272,,,,,,,,,
y_10_0,6,19.266860219037536,,,,,,,,,
y_10_0,7,22.632219961077087,,,,,,,,,
y_10_0,8,21.557171733875542,,,,,,,,,
y_10_0,9,-4.228452347754608,,,,,,,,,
wm_10_0,0,0.0,1441.776762462468,305.6961668855497,74.98414762473469,839.2420234653854,534.0349456139437,2089.128753319071,1554.0030932035743,1752.6221942364286,197.0249843929571
wm_10_0,1,1441.776762462468,0.0,2051.016870249837,1121.657617650341,1434.3957441573968,1155.6245578031596,64.82815718533679,309.5081739658106,123.8785415998074,1587.740554483841
wm_10_0,2,305.6961668855497,2051.016870249837,0.0,657.9165586085239,323.81438963884915,1621.5579965518637,2676.382562942181,1550.1403147126102,2012.0363802455954,30.808016924205095
wm_10_0,3,74.98414762473469,1121.657617650341,657.9165586085239,0.0,1168.3985307701369,213.79814558187792,1723.0715198454177,1501.8049108704568,1557.1552454582293,459.11507947995335
wm_10_0,4,839.2420234653854,1434.3957441573968,323.81438963884915,1168.3985307701369,0.0,2225.014388220133,1779.8486984579788,674.040107956823,1109.8847332469904,271.4993241827737
wm_10_0,5,534.0349456139437,1155.6245578031596,1621.5579965518637,213.79814558187792,2225.014388220133,0.0,1737.277236936189,2034.9323394425592,1856.8014652148458,1289.4148183111165
wm_10_0,6,2089.128753319071,64.82815718533679,2676.382562942181,1723.0715198454177,1779.8486984579788,1737.277236936189,0.0,329.0292429659833,97.81164293008072,2156.156768462515
wm_10_0,7,1554.0030932035743,309.5081739658106,1550.1403147126102,1501.8049108704568,674.040107956823,2034.9323394425592,329.0292429659833,0.0,68.44679486062977,1215.5491665446775
wm_10_0,8,1752.6221942364286,123.8785415998074,2012.0363802455954,1557.1552454582293,1109.8847332469904,1856.8014652148458,97.81164293008072,68.44679486062977,0.0,1590.9092568318613
wm_10_0,9,197.0249843929571,1587.740554483841,30.808016924205095,459.11507947995335,271.4993241827737,1289.4148183111165,2156.156768462515,1215.5491665446775,1590.9092568318613,0.0
,,0,1,2,3,4,5,6,7,8,9
x_10_1,0,-9.688391022559728,,,,,,,,,
x_10_1,1,-11.746821719624712,,,,,,,,,
x_10_1,2,-15.196996842442429,,,,,,,,,
x_10_1,3,-3.4739261716476175,,,,,,,,,
x_10_1,4,-23.84432240039724,,,,,,,,,
x_10_1,5,-15.210904245800682,,,,,,,,,
x_10_1,6,-7.35973557656372,,,,,,,,,
x_10_1,7,-13.83789903271307,,,,,,,,,
x_10_1,8,5.676092784827292,,,,,,,,,
x_10_1,9,4.022855579442708,,,,,,,,,
y_10_1,0,17.678383927227546,,,,,,,,,
y_10_1,1,-22.943473173090716,,,,,,,,,
y_10_1,2,-0.5912781254452326,,,,,,,,,
y_10_1,3,21.0413078146604,,,,,,,,,
y_10_1,4,-19.544905834057165,,,,,,,,,
y_10_1,5,-4.4471688847821875,,,,,,,,,
y_10_1,6,-1.493658876272247,,,,,,,,,
y_10_1,7,-18.635172565239564,,,,,,,,,
y_10_1,8,24.117750014548715,,,,,,,,,
y_10_1,9,-23.98420168973133,,,,,,,,,
wm_10_1,0,0.0,1654.372411213297,364.1252895977173,49.928830455888566,1585.9636938266078,520.038239537903,372.98986144539504,1335.8928018579272,277.53279827399984,1923.7693236713521
wm_10_1,1,1654.372411213297,0.0,511.5243318260976,2003.1017592881713,157.89978267923735,354.1131400738582,479.3410581946358,22.934058456923427,2518.3166777462548,249.76583796207132
wm_10_1,2,364.1252895977173,511.5243318260976,0.0,605.3991604085054,434.01624262192047,14.868086963808286,62.236955169105876,327.429273410852,1046.2219422110475,916.6316000035756
wm_10_1,3,49.928830455888566,2003.1017592881713,605.3991604085054,0.0,2062.1937808556045,787.4190987711775,522.9242384927783,1681.635028801488,93.18734351310384,2083.498242753551
wm_10_1,4,1585.9636938266078,157.89978267923735,434.01624262192047,2062.1937808556045,0.0,302.4775700216203,597.5891194834448,100.95612323372936,2777.882428461832,796.2869562542824
wm_10_1,5,520.038239537903,354.1131400738582,14.868086963808286,787.4190987711775,302.4775700216203,0.0,70.36407084317648,203.18459175183784,1252.2212366828135,751.6331678368056
wm_10_1,6,372.98986144539504,479.3410581946358,62.236955169105876,522.9242384927783,597.5891194834448,70.36407084317648,0.0,335.7980933136429,825.8770864404693,635.3878974688317
wm_10_1,7,1335.8928018579272,22.934058456923427,327.429273410852,1681.635028801488,100.95612323372936,203.18459175183784,335.7980933136429,0.0,2208.6082657684024,347.618667890305
wm_10_1,8,277.53279827399984,2518.3166777462548,1046.2219422110475,93.18734351310384,2777.882428461832,1252.2212366828135,825.8770864404693,2208.6082657684024,0.0,2316.5309510181573
wm_10_1,9,1923.7693236713521,249.76583796207132,916.6316000035756,2083.498242753551,796.2869562542824,751.6331678368056,635.3878974688317,347.618667890305,2316.5309510181573,0.0
,,0,1,2,3,4,5,6,7,8,9
x_10_2,0,-18.550585566906502,,,,,,,,,
x_10_2,1,-1.9421908603845295,,,,,,,,,
x_10_2,2,-4.192303436327627,,,,,,,,,
x_10_2,3,5.136211578828364,,,,,,,,,
x_10_2,4,-15.846597653135742,,,,,,,,,
x_10_2,5,-4.104364332896749,,,,,,,,,
x_10_2,6,-18.29556467760687,,,,,,,,,
x_10_2,7,7.8309063788750075,,,,,,,,,
x_10_2,8,15.336615929882457,,,,,,,,,
x_10_2,9,-18.09290203707727,,,,,,,,,
y_10_2,0,-7.480763143598612,,,,,,,,,
y_10_2,1,5.72579026832325,,,,,,,,,
y_10_2,2,2.5640143847699246,,,,,,,,,
y_10_2,3,9.623732618729186,,,,,,,,,
y_10_2,4,-22.736989200663473,,,,,,,,,
y_10_2,5,-7.372442103781079,,,,,,,,,
y_10_2,6,-22.905421617137904,,,,,,,,,
y_10_2,7,-17.47576767451436,,,,,,,,,
y_10_2,8,-8.083221406715053,,,,,,,,,
y_10_2,9,-16.83612174854985,,,,,,,,,
wm_10_2,0,0.0,450.2518277495721,307.05782133571813,853.6281343066829,240.0639841420832,208.70504138962144,237.98512467930667,795.883232858361,1148.7053812427732,87.73220884071213
wm_10_2,1,450.2518277495721,0.0,15.059833342236693,65.2977356585432,1003.4623433584783,176.23868539887735,1087.1791292359853,633.8257206228733,489.2459675367207,769.8853453700707
wm_10_2,2,307.05782133571813,15.059833342236693,0.0,136.86081393088767,775.9633561220408,98.74090083477957,847.594147895048,546.1504392439972,494.74232161141396,569.5919234505025
