cmtFileName,Number of Nodes,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,Real number of trucks
CMT01.xml,51,5,1,0,"2402,35","4,58","45,31",9
CMT01.xml,51,5,"0,9",0,"2204,62","4,2","33,37",8
CMT01.xml,51,5,"0,7",0,"1865,97","3,56","18,81",8
CMT01.xml,51,5,"0,5",0,"1405,46","2,68","11,47",7
CMT01.xml,51,5,"0,3",0,"976,38","1,86","10,81",8
CMT01.xml,51,5,1,1,"2402,35","4,58","44,36",7
CMT01.xml,51,5,1,2,"2402,35","4,58","43,91",8
CMT01.xml,51,5,"0,9",1,"2204,62","4,2","34,25",8
CMT01.xml,51,5,"0,9",2,"2204,62","4,2","31,38",9
CMT01.xml,51,5,"0,7",1,"1865,97","3,56","19,04",7
CMT01.xml,51,5,"0,7",2,"1865,97","3,56","26,98",7
CMT01.xml,51,5,"0,5",1,"1405,46","2,68","14,1",7
CMT01.xml,51,5,"0,5",2,"1405,46","2,68","13,53",8
CMT01.xml,51,5,"0,3",1,"976,38","1,86","11,87",8
CMT01.xml,51,5,"0,3",2,"976,38","1,86","10,65",8
CMT02.xml,76,10,1,0,"3630,86","4,35","130,42",13
CMT02.xml,76,10,"0,9",0,"3326,45","3,98","93,5",14
CMT02.xml,76,10,"0,7",0,"2843,92","3,4","52,32",15
CMT02.xml,76,10,"0,5",0,"2249,76","2,69","24,46",15
CMT02.xml,76,10,"0,3",0,"1453,6","1,74","12,91",14
CMT02.xml,76,10,1,1,"3630,86","4,35","130,75",15
CMT02.xml,76,10,1,2,"3630,86","4,35","132,78",15
CMT02.xml,76,10,"0,9",1,"3326,45","3,98","94,8",14
CMT02.xml,76,10,"0,9",2,"3326,45","3,98","96,67",15
CMT02.xml,76,10,"0,7",1,"2843,92","3,4","52,55",15
CMT02.xml,76,10,"0,7",2,"2843,92","3,4","49,49",15
CMT02.xml,76,10,"0,5",1,"2249,76","2,69","24,29",14
CMT02.xml,76,10,"0,5",2,"2249,76","2,69","25,49",13
CMT02.xml,76,10,"0,3",1,"1453,6","1,74","16,2",14
CMT02.xml,76,10,"0,3",2,"1453,6","1,74","17,06",13
CMT03.xml,101,8,1,0,"4989,42","6,04","340,31",10
CMT03.xml,101,8,"0,9",0,"4600,97","5,57","243,06",12
CMT03.xml,101,8,"0,7",0,"3802,96","4,6","121,65",11
CMT03.xml,101,8,"0,5",0,"2986,38","3,61","56,44",11
CMT03.xml,101,8,"0,3",0,"2132,43","2,58","26,03",11
CMT03.xml,101,8,1,1,"4989,42","6,04","306,31",12
CMT03.xml,101,8,1,2,"4989,42","6,04","311,55",11
CMT03.xml,101,8,"0,9",1,"4600,97","5,57","220,54",11
CMT03.xml,101,8,"0,9",2,"4600,97","5,57","219,4",12
CMT03.xml,101,8,"0,7",1,"3802,96","4,6","104,89",12
CMT03.xml,101,8,"0,7",2,"3802,96","4,6","109,02",13
CMT03.xml,101,8,"0,5",1,"2986,38","3,61","47,01",11
CMT03.xml,101,8,"0,5",2,"2986,38","3,61","50,22",11
CMT03.xml,101,8,"0,3",1,"2132,43","2,58","23,21",11
CMT03.xml,101,8,"0,3",2,"2132,43","2,58","21,12",12
CMT04.xml,151,12,1,0,"7360,5","7,16","1160,29",16
CMT04.xml,151,12,"0,9",0,"6703,91","6,52","843,03",17
CMT04.xml,151,12,"0,7",0,"5307,09","5,16","398,63",17
CMT04.xml,151,12,"0,5",0,"4225,81","4,11","177,24",17
CMT04.xml,151,12,"0,3",0,"2807,41","2,73","64,69",17
CMT04.xml,151,12,1,1,"7360,5","7,16","1061,03",16
CMT04.xml,151,12,1,2,"7360,5","7,16","1078,69",17
CMT04.xml,151,12,"0,9",1,"6703,91","6,52","787,4",16
CMT04.xml,151,12,"0,9",2,"6703,91","6,52","782,27",17
CMT04.xml,151,12,"0,7",1,"5307,09","5,16","370,15",16
CMT04.xml,151,12,"0,7",2,"5307,09","5,16","383,42",17
CMT04.xml,151,12,"0,5",1,"4225,81","4,11","150,18",16
CMT04.xml,151,12,"0,5",2,"4225,81","4,11","151,02",15
CMT04.xml,151,12,"0,3",1,"2807,41","2,73","57,36",17
CMT04.xml,151,12,"0,3",2,"2807,41","2,73","54,7",16
CMT05.xml,200,17,1,0,"9608,41","7,44","2373,91",22
CMT05.xml,200,17,"0,9",0,"8734,52","6,76","1772,58",25
CMT05.xml,200,17,"0,7",0,"7022,68","5,44","855,9",24
CMT05.xml,200,17,"0,5",0,"5448,55","4,22","355,72",22
CMT05.xml,200,17,"0,3",0,"3812,22","2,95","115,3",24
CMT05.xml,200,17,1,1,"9608,41","7,44","2382,48",24
CMT05.xml,200,17,1,2,"9608,41","7,44","2324,23",22
CMT05.xml,200,17,"0,9",2,"8734,52","6,76","1733,4",24
CMT05.xml,200,17,"0,9",1,"8734,52","6,76","1720,55",22
CMT05.xml,200,17,"0,7",1,"7022,68","5,44","830,29",22
CMT05.xml,200,17,"0,7",2,"7022,68","5,44","839,47",23
CMT05.xml,200,17,"0,5",1,"5448,55","4,22","330,77",24
CMT05.xml,200,17,"0,5",2,"5448,55","4,22",330,23
CMT05.xml,200,17,"0,3",1,"3812,22","2,95","117,73",22
CMT05.xml,200,17,"0,3",2,"3812,22","2,95","117,1",22
CMT11.xml,121,7,1,0,"12239,31","11,74","519,37",12
CMT11.xml,121,7,"0,9",0,"10844,68","10,41","372,42",11
CMT11.xml,121,7,"0,7",0,"8094,42","7,77","181,05",12
CMT11.xml,121,7,"0,5",0,"5754,27","5,52","78,17",10
CMT11.xml,121,7,"0,3",0,"3492,14","3,35","32,91",10
CMT11.xml,121,7,1,1,"12239,31","11,74","526,13",10
CMT11.xml,121,7,1,2,"12239,31","11,74","522,9",10
CMT11.xml,121,7,"0,9",1,"10844,68","10,41","370,04",10
CMT11.xml,121,7,"0,9",2,"10844,68","10,41","369,55",11
CMT11.xml,121,7,"0,7",1,"8094,42","7,77","183,07",10
CMT11.xml,121,7,"0,7",2,"8094,42","7,77","182,95",9
CMT11.xml,121,7,"0,5",1,"5754,27","5,52","78,62",10
CMT11.xml,121,7,"0,5",2,"5754,27","5,52","80,5",10
CMT11.xml,121,7,"0,3",1,"3492,14","3,35","35,14",10
CMT11.xml,121,7,"0,3",2,"3492,14","3,35","36,41",11
CMT12.xml,101,10,1,0,"5770,96","7,04","294,62",14
CMT12.xml,101,10,"0,9",0,"5289,6","6,45","277,49",14
CMT12.xml,101,10,"0,7",0,"4365,1","5,33","105,79",13
CMT12.xml,101,10,"0,5",0,"3325,03","4,06","47,87",13
CMT12.xml,101,10,"0,3",0,"2079,16","2,54","23,58",13
CMT12.xml,101,10,1,1,"5770,96","7,04","304,88",14
CMT12.xml,101,10,1,2,"5770,96","7,04","303,48",14
CMT12.xml,101,10,"0,9",1,"5289,6","6,45","218,23",15
CMT12.xml,101,10,"0,9",2,"5289,6","6,45","220,51",13
CMT12.xml,101,10,"0,7",1,"4365,1","5,33","110,52",14
CMT12.xml,101,10,"0,7",2,"4365,1","5,33","110,31",12
