,cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
0,CMT01.xml,5,0.3,0,673.2843187527453,1.2833997040711105,75.19155287742615
1,CMT01.xml,5,0.3,1,673.2843187527453,1.2833997040711105,76.80146527290344
2,CMT01.xml,5,0.3,2,673.2843187527453,1.2833997040711105,77.46851205825806
3,CMT01.xml,5,0.5,0,599.0760144674589,1.1419454727654046,6005.64058804512
4,CMT01.xml,5,0.5,1,599.0760144674589,1.1419454727654046,6005.702055454254
5,CMT01.xml,5,0.5,2,599.0760144674589,1.1419454727654046,6006.341090679169
6,CMT01.xml,5,0.7,0,578.8951315542527,1.1034771192967208,6246.685664176941
7,CMT01.xml,5,0.7,1,578.8951315542527,1.1034771192967208,6007.79479932785
8,CMT01.xml,5,0.7,2,578.8951315542527,1.1034771192967208,6007.348257064819
9,CMT01.xml,5,0.9,0,560.023461782902,1.0675043590150817,6003.444447517395
10,CMT01.xml,5,0.9,1,560.023461782902,1.0675043590150817,6003.687985658646
11,CMT01.xml,5,0.9,2,560.023461782902,1.0675043590150817,6003.655895471573
12,CMT01.xml,5,1.0,0,550.4545117109927,1.049264237645094,6003.766182422638
13,CMT01.xml,5,1.0,1,550.4545117109927,1.049264237645094,6003.627808570862
14,CMT01.xml,5,1.0,2,550.4545117109927,1.049264237645094,6004.086890459061
15,CMT02.xml,10,0.3,0,927.9588663590501,1.110982049133264,6002.844002008438
16,CMT02.xml,10,0.3,1,,,
17,CMT02.xml,10,0.3,2,,,
18,CMT02.xml,10,0.5,0,960.7672186282683,1.1502612583246754,6011.827759742737
19,CMT02.xml,10,0.5,1,960.7672186282683,1.1502612583246754,6011.705544471741
20,CMT02.xml,10,0.5,2,960.7672186282683,1.1502612583246754,6011.091099977493
21,CMT02.xml,10,0.7,0,906.5943748675735,1.0854037962641256,6006.39079451561
22,CMT02.xml,10,0.7,1,906.5943748675735,1.0854037962641256,6006.5185623168945
23,CMT02.xml,10,0.7,2,906.5943748675735,1.0854037962641256,6006.232604503632
24,CMT02.xml,10,0.9,0,927.9588663590501,1.110982049133264,6003.016246318817
25,CMT02.xml,10,0.9,1,927.9588663590501,1.110982049133264,6003.008782148361
26,CMT02.xml,10,0.9,2,927.9588663590501,1.110982049133264,6002.720872163773
27,CMT02.xml,10,1.0,0,887.363324192171,1.0623797670092798,6001.639745950699
28,CMT02.xml,10,1.0,1,887.363324192171,1.0623797670092798,6001.54270529747
29,CMT02.xml,10,1.0,2,887.363324192171,1.0623797670092798,6001.52766084671
63,CMT03.xml,8,0.3,0,986.9296723704653,1.194627632568893,6016.824696779251
64,CMT03.xml,8,0.3,1,986.9296723704653,1.194627632568893,6016.9140083789825
34,CMT03.xml,8,0.3,2,986.9296723704653,1.194627632568893,6017.877902269363
61,CMT03.xml,8,0.5,0,902.519409514644,1.0924533487237564,6009.226076841354
62,CMT03.xml,8,0.5,1,902.519409514644,1.0924533487237564,6008.803996086121
33,CMT03.xml,8,0.5,2,902.519409514644,1.0924533487237564,6008.763754606247
59,CMT03.xml,8,0.7,0,882.3071636089082,1.0679874641209823,6006.2380492687225
60,CMT03.xml,8,0.7,1,882.3071636089082,1.0679874641209823,6006.109518289566
32,CMT03.xml,8,0.7,2,882.3071636089082,1.0679874641209823,6005.93576169014
57,CMT03.xml,8,0.9,0,848.8983887046411,1.0275478595693721,6003.38863325119
58,CMT03.xml,8,0.9,1,848.8983887046411,1.0275478595693721,6003.19775724411
31,CMT03.xml,8,0.9,2,848.8983887046411,1.0275478595693721,6003.384439706802
55,CMT03.xml,8,1.0,0,943.054240922556,1.141518678338485,6001.750881195068
56,CMT03.xml,8,1.0,1,943.054240922556,1.141518678338485,6001.87488079071
30,CMT03.xml,8,1.0,2,943.054240922556,1.141518678338485,6001.7251172065735
73,CMT04.xml,12,0.3,0,1202.5129085925066,1.1692819165248698,6027.44124007225
74,CMT04.xml,12,0.3,1,1202.5129085925066,1.1692819165248698,6025.524389028549
39,CMT04.xml,12,0.3,2,1202.5129085925066,1.1692819165248698,6025.932680606842
71,CMT04.xml,12,0.5,0,1119.3249875166136,1.0883928623681118,6022.5126786231995
72,CMT04.xml,12,0.5,1,1119.3249875166136,1.0883928623681118,6020.958896160126
38,CMT04.xml,12,0.5,2,1119.3249875166136,1.0883928623681118,6024.439539432526
69,CMT04.xml,12,0.7,0,1198.4982347231758,1.1653781866583455,6017.441118955612
70,CMT04.xml,12,0.7,1,1198.4982347231758,1.1653781866583455,6017.872462511063
37,CMT04.xml,12,0.7,2,1198.4982347231758,1.1653781866583455,6016.235881090164
67,CMT04.xml,12,0.9,0,1120.2247653213349,1.0892677751515283,6009.06521987915
68,CMT04.xml,12,0.9,1,1122.2020937555426,1.0911904608579592,6008.9947464466095
36,CMT04.xml,12,0.9,2,1120.7609753129134,1.089789167181612,6009.620653867722
65,CMT04.xml,12,1.0,0,1099.1581127129984,1.0687832915666735,6002.5710780620575
66,CMT04.xml,12,1.0,1,1099.1581127129984,1.0687832915666735,6003.098601341248
35,CMT04.xml,12,1.0,2,1101.410785111903,1.0709737122108698,6003.5834193229675
83,CMT05.xml,17,0.3,0,1498.8264613473023,1.1607202575310753,6049.276473283768
84,CMT05.xml,17,0.3,1,1498.8264613473023,1.1607202575310753,6051.974936008453
44,CMT05.xml,17,0.3,2,1498.8264613473023,1.1607202575310753,6054.494585514069
81,CMT05.xml,17,0.5,0,1418.5456182392363,1.0985492168600672,6045.872334718704
82,CMT05.xml,17,0.5,1,1418.5456182392363,1.0985492168600672,6046.74262714386
43,CMT05.xml,17,0.5,2,1418.5456182392363,1.0985492168600672,6046.62374997139
79,CMT05.xml,17,0.7,0,1457.2101826404948,1.1284918048157229,6035.638570547104
80,CMT05.xml,17,0.7,1,1457.2101826404948,1.1284918048157229,6035.473656177521
42,CMT05.xml,17,0.7,2,1457.2101826404948,1.1284918048157229,6036.218596935272
77,CMT05.xml,17,0.9,0,1510.1828634851713,1.1695148754231592,6017.65522646904
78,CMT05.xml,17,0.9,1,1510.1828634851713,1.1695148754231592,6017.22314786911
41,CMT05.xml,17,0.9,2,1510.1828634851713,1.1695148754231592,6017.475142478943
75,CMT05.xml,17,1.0,0,1532.6473312376909,1.1869117945912158,6004.617466449738
76,CMT05.xml,17,1.0,1,1532.6473312376909,1.1869117945912158,6004.736076831818
40,CMT05.xml,17,1.0,2,1532.6473312376909,1.1869117945912158,6004.473284006119
93,CMT11.xml,7,0.3,0,1092.4376264585226,1.0482839082433142,6015.685945034027
94,CMT11.xml,7,0.3,1,1092.4376264585226,1.0482839082433142,6015.793339967728
49,CMT11.xml,7,0.3,2,1092.4376264585226,1.0482839082433142,6016.899353981018
91,CMT11.xml,7,0.5,0,1079.2098201513932,1.0355907382560485,6012.991786003113
92,CMT11.xml,7,0.5,1,1079.2098201513932,1.0355907382560485,6012.960731744766
48,CMT11.xml,7,0.5,2,1079.2098201513932,1.0355907382560485,6012.907748699188
89,CMT11.xml,7,0.7,0,1071.8359777487049,1.0285149289416813,6008.862339019775
90,CMT11.xml,7,0.7,1,1071.8359777487049,1.0285149289416813,6009.683715105057
47,CMT11.xml,7,0.7,2,1071.8359777487049,1.0285149289416813,6009.577014684677
87,CMT11.xml,7,0.9,0,,,
88,CMT11.xml,7,0.9,1,,,
46,CMT11.xml,7,0.9,2,,,
85,CMT11.xml,7,1.0,0,1081.836020756763,1.0381107941088963,6001.900647640228
86,CMT11.xml,7,1.0,1,1081.5078559179399,1.0377958929086286,6001.966575622559
45,CMT11.xml,7,1.0,2,1081.836020756763,1.0381107941088963,6001.968551397324
103,CMT12.xml,10,0.3,0,856.9887985887416,1.0456693818497018,125.7903995513916
104,CMT12.xml,10,0.3,1,856.9887985887416,1.0456693818497018,125.20581126213074
54,CMT12.xml,10,0.3,2,856.9887985887416,1.0456693818497018,125.41742658615112
101,CMT12.xml,10,0.5,0,842.8361705514238,1.0284008133039972,6011.630033731461
102,CMT12.xml,10,0.5,1,842.8361705514238,1.0284008133039972,6011.695501089096
53,CMT12.xml,10,0.5,2,842.8361705514238,1.0284008133039972,6011.77365398407
99,CMT12.xml,10,0.7,0,835.3992896286641,1.0193265772227342,6007.398469686508
100,CMT12.xml,10,0.7,1,835.3992896286641,1.0193265772227342,6007.420702457428
52,CMT12.xml,10,0.7,2,835.3992896286641,1.0193265772227342,6007.627112865448
97,CMT12.xml,10,0.9,0,831.0465171427326,1.0140154682301876,6005.348948001862
98,CMT12.xml,10,0.9,1,831.0465171427326,1.0140154682301876,6005.0288417339325
